"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.10.2025","402,40","402,87","405,69","401,10","143,43K","-0,10%"
"02.10.2025","402,80","401,74","404,00","401,45","186,78K","0,34%"
"01.10.2025","401,45","397,87","401,45","396,88","110,48K","0,41%"
"30.09.2025","399,80","397,96","399,80","396,00","91,56K","0,45%"
"29.09.2025","398,00","398,94","399,29","396,36","88,18K","-0,06%"
"26.09.2025","398,25","397,49","399,20","396,00","56,18K","0,12%"
"25.09.2025","397,79","394,84","397,79","393,14","100,78K","0,33%"
"24.09.2025","396,50","397,20","397,50","395,03","99,46K","0,40%"
"23.09.2025","394,91","401,37","401,37","394,39","274,31K","-1,62%"
"22.09.2025","401,42","398,05","401,50","397,32","186,68K","0,85%"
"19.09.2025","398,05","396,72","398,05","396,20","55,21K","0,48%"
"18.09.2025","396,15","394,00","396,25","393,72","106,36K","0,82%"
"17.09.2025","392,93","393,13","396,52","388,53","97,49K","-0,05%"
"16.09.2025","393,13","394,61","395,50","392,40","169,32K","-0,60%"
"15.09.2025","395,50","395,50","396,10","394,12","74,88K","-0,15%"
"12.09.2025","396,10","398,36","398,92","395,62","120,38K","-0,75%"
"11.09.2025","399,10","397,24","399,13","396,01","62,60K","0,55%"
"10.09.2025","396,91","398,50","399,02","395,51","51,33K","-0,24%"
"09.09.2025","397,85","396,01","397,85","394,90","57,72K","0,56%"
"08.09.2025","395,65","394,51","397,25","392,97","96,39K","0,37%"
"05.09.2025","394,20","395,60","396,56","391,50","141,60K","-0,94%"
"04.09.2025","397,95","395,30","397,98","395,00","72,95K","0,71%"
"03.09.2025","395,15","394,39","395,68","392,05","93,24K","0,11%"
"02.09.2025","394,70","393,50","394,70","389,74","154,17K","-0,05%"
"01.09.2025","394,90","393,48","394,90","392,60","78,24K","0,27%"
"29.08.2025","393,85","395,85","395,85","392,00","189,31K","-0,23%"
"28.08.2025","394,75","394,30","395,47","392,62","89,37K","0,13%"
"27.08.2025","394,25","394,71","396,51","393,65","112,45K","0,03%"
"26.08.2025","394,13","390,98","394,20","390,24","71,29K","0,68%"
"25.08.2025","391,45","393,13","393,52","391,31","60,25K","-0,67%"
"22.08.2025","394,10","392,00","395,03","391,54","185,42K","0,52%"
"21.08.2025","392,08","391,92","393,84","390,52","91,83K","-0,11%"
"20.08.2025","392,52","394,00","395,45","389,60","86,95K","-0,88%"
"19.08.2025","396,00","394,50","396,88","393,31","133,50K","0,62%"
"18.08.2025","393,55","391,46","393,55","390,84","46,65K","0,68%"
"15.08.2025","390,90","392,20","392,70","390,20","61,81K","-0,53%"
"14.08.2025","393,00","390,00","393,80","390,00","47,13K","0,27%"
"13.08.2025","391,95","389,90","392,20","389,90","61,82K","0,53%"
"12.08.2025","389,88","388,53","389,96","387,80","87,14K","0,09%"
"11.08.2025","389,54","390,36","391,92","388,59","44,97K","-0,21%"
"08.08.2025","390,35","386,90","390,36","386,50","96,27K","1,15%"
"07.08.2025","385,90","390,09","391,50","384,78","80,70K","-0,75%"
"06.08.2025","388,80","388,94","390,05","386,52","119,19K","-0,13%"
"05.08.2025","389,30","392,06","392,52","388,62","105,85K","-0,51%"
"04.08.2025","391,30","388,95","391,53","387,01","89,89K","0,90%"
"01.08.2025","387,80","391,80","391,80","386,09","178,22K","-2,57%"
"31.07.2025","398,01","404,00","405,00","397,60","117,73K","-0,12%"
"30.07.2025","398,49","399,89","402,95","396,00","170,08K","0,21%"
"29.07.2025","397,67","401,00","402,00","397,67","98,82K","-0,68%"
"28.07.2025","400,41","399,60","402,18","399,60","143,46K","0,53%"
"25.07.2025","398,30","395,00","399,48","394,71","173,20K","1,10%"
"24.07.2025","393,98","394,00","396,00","393,78","93,42K","0,05%"
"23.07.2025","393,78","394,00","395,32","392,55","58,92K","0,08%"
"22.07.2025","393,48","393,94","394,69","392,00","105,31K","-0,04%"
"21.07.2025","393,64","393,00","395,77","392,71","89,38K","-0,16%"
"18.07.2025","394,28","392,60","394,99","390,60","87,65K","0,59%"
"17.07.2025","391,98","392,00","393,60","391,06","127,16K","0,33%"
"16.07.2025","390,70","391,02","392,06","387,00","122,09K","0,47%"
"15.07.2025","388,89","391,80","393,59","388,89","95,53K","-0,79%"
"14.07.2025","392,00","388,80","393,00","388,22","72,95K","0,82%"
"11.07.2025","388,80","390,00","392,50","387,93","162,17K","-0,44%"
"10.07.2025","390,50","389,95","392,50","387,77","236,20K","1,00%"
"09.07.2025","386,65","381,59","386,65","381,32","135,17K","1,72%"
"08.07.2025","380,10","381,50","382,46","379,51","112,27K","-0,69%"
"07.07.2025","382,75","380,50","383,15","379,80","126,69K","0,88%"
"04.07.2025","379,40","380,25","380,33","378,70","48,33K","-0,22%"
"03.07.2025","380,25","379,75","383,40","379,11","159,43K","0,40%"
"02.07.2025","378,75","379,50","380,53","377,57","59,40K","-0,29%"
"01.07.2025","379,85","377,85","380,39","377,00","108,67K","0,53%"
"30.06.2025","377,85","380,97","380,97","376,04","71,45K","-0,57%"
"27.06.2025","380,00","377,23","380,86","377,05","110,14K","0,40%"
"26.06.2025","378,50","379,00","379,53","377,53","135,22K","-0,26%"
"25.06.2025","379,50","377,50","380,61","377,33","81,74K","0,64%"
"24.06.2025","377,10","373,05","377,80","372,70","153,07K","1,44%"
"23.06.2025","371,75","369,33","372,02","367,89","139,61K","0,54%"
"20.06.2025","369,75","369,07","369,98","367,34","166,85K","0,15%"
"18.06.2025","369,20","369,72","370,69","367,34","72,82K","0,03%"
"17.06.2025","369,10","369,69","370,22","367,74","179,72K","-0,59%"
"16.06.2025","371,30","371,68","373,85","370,52","167,48K","-0,10%"
"13.06.2025","371,68","375,00","375,88","370,52","183,71K","-1,00%"
"12.06.2025","375,45","372,82","376,40","372,19","124,56K","0,33%"
"11.06.2025","374,20","376,76","377,24","373,01","74,75K","-0,80%"
"10.06.2025","377,20","374,45","377,76","373,60","81,41K","0,73%"
"09.06.2025","374,45","374,70","376,81","374,14","126,45K","-0,07%"
"06.06.2025","374,70","373,70","378,50","373,70","158,18K","0,77%"
"05.06.2025","371,85","376,50","376,50","371,27","180,95K","-1,52%"
"04.06.2025","377,60","377,11","378,80","376,20","119,66K","0,13%"
"03.06.2025","377,11","378,00","379,59","375,50","141,09K","-0,22%"
"02.06.2025","377,95","376,51","378,40","373,76","239,65K","-0,22%"
"30.05.2025","378,80","376,39","379,70","374,16","137,24K","0,84%"
"29.05.2025","375,65","377,33","378,24","372,19","81,07K","-0,32%"
"28.05.2025","376,85","376,00","378,57","375,50","65,66K","0,49%"
"27.05.2025","375,00","372,80","375,50","371,51","114,38K","0,86%"
"26.05.2025","371,79","369,70","373,96","369,52","87,12K","1,19%"
"23.05.2025","367,40","368,30","371,33","367,04","72,19K","-0,92%"
"22.05.2025","370,80","371,00","372,45","367,70","137,51K","0,27%"
"21.05.2025","369,80","376,00","376,25","369,10","223,24K","-2,05%"
"20.05.2025","377,55","377,54","378,43","376,00","242,21K","0,00%"
"19.05.2025","377,54","375,97","377,87","375,01","159,94K","-0,21%"
"16.05.2025","378,35","378,54","378,99","377,03","113,94K","0,42%"
"15.05.2025","376,75","370,00","377,68","369,51","126,17K","1,29%"
"14.05.2025","371,95","369,08","371,95","368,78","252,01K","0,54%"
"13.05.2025","369,95","370,00","371,93","369,30","336,76K","-0,60%"
"12.05.2025","372,20","370,00","373,09","368,08","204,67K","3,94%"
"09.05.2025","358,10","360,39","362,80","357,50","155,78K","-0,40%"
"08.05.2025","359,55","362,97","363,65","358,52","110,93K","-0,77%"
"07.05.2025","362,34","360,71","364,00","359,02","94,91K","1,06%"
"06.05.2025","358,55","359,00","361,81","357,60","138,94K","-0,42%"
"05.05.2025","360,05","357,99","361,95","356,07","72,05K","0,01%"
"02.05.2025","360,00","358,01","361,22","355,66","201,80K","1,59%"
"30.04.2025","354,35","348,71","356,27","345,30","207,79K","1,07%"
"29.04.2025","350,60","349,01","351,62","348,03","126,15K","0,39%"
"28.04.2025","349,25","351,32","351,90","347,23","121,91K","-0,61%"
"25.04.2025","351,40","349,49","352,02","347,65","234,70K","0,66%"
"24.04.2025","349,10","342,17","349,99","340,11","516,93K","1,51%"
"23.04.2025","343,90","342,83","348,65","341,85","422,58K","1,37%"
"22.04.2025","339,25","338,35","340,86","336,01","441,50K","-1,31%"
"17.04.2025","343,75","348,48","348,48","343,20","246,90K","-0,77%"
"16.04.2025","346,40","354,80","354,80","343,09","182,18K","-2,63%"
"15.04.2025","355,75","354,45","358,90","353,79","403,66K","0,37%"
"14.04.2025","354,45","356,00","357,44","352,05","374,21K","0,84%"
"11.04.2025","351,50","347,00","354,00","344,65","1,28M","1,15%"
"10.04.2025","347,50","354,74","356,10","341,12","684,24K","-2,42%"
"09.04.2025","356,10","338,00","358,00","336,09","470,06K","6,49%"
"08.04.2025","334,40","343,00","348,90","330,16","620,99K","0,01%"
"07.04.2025","334,35","325,00","342,78","319,86","762,93K","0,77%"
"04.04.2025","331,78","339,00","340,57","331,78","606,15K","-2,37%"
"03.04.2025","339,84","343,50","346,29","339,70","1,08M","-6,43%"
"02.04.2025","363,21","355,37","363,21","353,08","264,43K","1,31%"
"01.04.2025","358,50","358,28","359,79","355,24","142,53K","-0,06%"
"31.03.2025","358,70","357,00","359,50","353,60","272,90K","-0,32%"
"28.03.2025","359,85","366,00","367,53","359,25","238,03K","-1,72%"
"27.03.2025","366,15","367,99","368,67","365,01","319,98K","-0,08%"
"26.03.2025","366,45","370,74","370,99","365,13","257,23K","-0,60%"
"25.03.2025","368,65","370,00","371,25","367,14","246,28K","-0,63%"
"24.03.2025","371,00","368,53","371,60","367,46","267,67K","2,30%"
"21.03.2025","362,65","359,38","362,65","358,54","165,49K","0,96%"
"20.03.2025","359,20","357,14","362,62","357,02","141,22K","0,08%"
"19.03.2025","358,90","357,71","360,64","356,82","355,54K","0,55%"
"18.03.2025","356,95","360,00","360,75","355,06","362,31K","-1,15%"
"17.03.2025","361,10","360,50","365,05","359,21","453,25K","-0,25%"
"14.03.2025","362,00","359,15","362,23","357,60","388,10K","0,89%"
"13.03.2025","358,80","364,73","365,95","358,00","143,61K","-1,43%"
"12.03.2025","364,01","366,98","370,00","361,69","284,27K","0,28%"
"11.03.2025","363,00","367,85","367,85","361,49","533,77K","-1,35%"
"10.03.2025","367,95","369,74","370,57","365,41","412,98K","-1,59%"
"07.03.2025","373,90","370,70","374,98","367,16","263,30K","0,86%"
"06.03.2025","370,70","372,46","374,85","368,16","296,92K","-1,58%"
"05.03.2025","376,65","375,23","378,18","373,21","407,83K","-4,09%"
"28.02.2025","392,70","385,00","392,70","382,90","263,47K","2,40%"
"27.02.2025","383,50","389,24","390,20","383,06","139,39K","-0,87%"
"26.02.2025","386,88","384,69","389,48","383,70","150,48K","1,01%"
